Row.names,PC1,PC2,PC3,X,Tube,root.microb3,Vegetation,Location,SampleID,LDMC..g.g.,SLA..cm.2.g.,X15N,X13C,Wt..N.,Wt..C.
126,-1.069126353,-1.148094653,-0.485509816,ITS.cc.256,256,AMF,S,US CA,ITS.cc.256,2.771159129,5.188855062,2.412850627,1.400471317,0.851998154,1.347163624
13,1.918314264,-1.687546545,0.16257002,ITS.cc.23,23,AMF,S,Japan,ITS.cc.23,3.274787372,4.375603315,1.788516316,1.865270848,0.377507923,1.343362149
14,0.763300057,-2.856591812,0.276487575,ITS.cc.24,24,AMF,S,Japan,ITS.cc.24,3.364655024,4.459778139,2.153270693,1.978592114,0.932974383,1.336112042
15,-0.461394699,-2.312761713,-0.021558726,ITS.cc.25,25,AMF,S,Japan,ITS.cc.25,3.035965456,4.506718213,2.309243596,1.801980523,1.203581428,1.342440844
16,0.365202697,-2.032126043,1.017174711,ITS.cc.26,26,AMF,S,Japan,ITS.cc.26,3.299810537,5.840518834,2.112414219,1.91409506,0.687971359,1.343430286
17,0.771560438,-2.387941026,0.48878988,ITS.cc.27,27,AMF,S,Japan,ITS.cc.27,3.223665194,5.840326293,1.769970266,1.902526319,0.71047577,1.335298724
18,0.794106526,-2.272420109,0.139862416,ITS.cc.28,28,AMF,S,Japan,ITS.cc.28,3.264888621,5.769884587,1.631099164,1.807313476,0.85537525,1.335138157
19,0.34165776,-2.199900977,0.224636187,ITS.cc.29,29,AMF,S,Japan,ITS.cc.29,3.299992799,5.84912911,1.706335014,1.783939053,1.07773272,1.338091905
2,-1.002470274,0.254245879,-0.691739864,ITS.cc.2,2,Nfix,S,Switzerland,ITS.cc.2,3.134276654,5.734267868,1.991362968,1.061343315,1.195629465,1.360519741
20,-0.036801946,-1.538512373,0.142506099,ITS.cc.30,30,AMF,S,Japan,ITS.cc.30,3.260787452,5.677768427,2.00326554,1.609259637,0.950633722,1.345063669
21,1.897134317,1.355133354,0.5957764,ITS.cc.41,41,"ECM,ERM",S,Italy ,ITS.cc.41,3.292258281,5.322265409,1.471868802,1.436995508,0.131050017,1.373617406
22,2.154614728,1.927691245,0.121475902,ITS.cc.42,42,"ECM,ERM",S,Italy ,ITS.cc.42,3.296988153,5.502218053,1.204489411,1.232892422,0.075439977,1.374866816
23,0.958475613,0.594881581,1.095834761,ITS.cc.43,43,"ECM,ERM",S,Italy ,ITS.cc.43,3.301078605,5.254199206,1.966842138,1.608246042,0.38584502,1.37212509
24,1.006554119,0.516095214,0.738124771,ITS.cc.44,44,"ECM,ERM",S,Italy ,ITS.cc.44,3.291607398,5.086765989,1.937646873,1.540924205,0.40595872,1.369450166
25,2.714964129,2.324458683,-0.143273687,ITS.cc.45,45,"ECM,ERM",S,Italy ,ITS.cc.45,3.257633195,5.556066085,0.670818848,1.205054159,0.165328065,1.376676029
26,0.922080502,0.70412773,0.908163916,ITS.cc.46,46,"ECM,ERM",S,Italy ,ITS.cc.46,3.305494519,5.538136273,1.887621042,1.513431466,0.365028803,1.370641524
27,0.900393435,0.829548286,0.720794394,ITS.cc.47,47,"ECM,ERM",S,Italy ,ITS.cc.47,3.306231316,5.335447913,1.907573546,1.45536022,0.396033301,1.371704935
