site,veg,symbiont,ITS.otus,ITS.chao1,ph,vwc,soilN,soilCN,sla,ldmc,leafN,temp,precip,PCOA1,PCOA2,X
Japan,NS,AMF,-1.78158652,-1.705967801,0.997161187,2.651780367,-1.046422068,5.370050017,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,-0.688329303,-0.065311652,ITS.cc.32
Japan,NS,AMF,-1.410849113,-1.392383557,0.80500597,1.516646789,0.076014927,-0.572083546,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,-0.261339904,-0.063061724,ITS.cc.33
Japan,NS,AMF,-0.456306826,-0.687060958,0.612850754,2.306304931,0.511719534,-0.026494148,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,-0.576595411,-0.125344727,ITS.cc.34
Japan,NS,AMF,0.133179854,0.052492626,0.901083578,1.714061324,-0.023511506,0.062447142,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,0.364483234,-0.6912644,ITS.cc.35
Japan,NS,AMF,-0.466249975,-0.580870904,0.228540321,1.023110451,0.186599853,-0.411282865,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,0.694293638,-0.213130425,ITS.cc.36
Japan,NS,AMF,-1.398065065,-1.446457172,0.228540321,0.875049549,-0.476909701,0.524443356,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,0.569727622,-0.164658919,ITS.cc.39
Japan,NS,AMF,-1.996074444,-1.871448843,0.80500597,0.578927746,-0.421617238,0.302250959,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,-0.70268318,-0.060241659,ITS.cc.40
Italy,S,ECM.ERM,-1.005073945,-1.023146337,-1.837128254,0.333640186,0.021828314,-0.642023994,0.091986894,1.012634794,-1.246994531,1.602996356,-0.863797533,-0.399801508,-0.288720121,ITS.cc.41
Italy,S,ECM.ERM,-0.101667851,0.011920367,-1.894774819,0.700337685,3.957545817,-0.992380262,0.091986894,1.012634794,-1.246994531,1.602996356,-0.863797533,0.093913546,-0.302927193,ITS.cc.42
Italy,S,ECM.ERM,0.101929958,-0.046275991,-1.827520493,1.13909149,1.257061933,-0.88309962,0.091986894,1.012634794,-1.246994531,1.602996356,-0.863797533,0.273047295,-0.728900818,ITS.cc.44
Italy,S,ECM.ERM,0.260073373,0.20156693,-1.116546193,-0.347439961,0.110296254,-0.739660701,0.091986894,1.012634794,-1.246994531,1.602996356,-0.863797533,0.644074483,-0.089486505,ITS.cc.45
Italy,S,ECM.ERM,0.399277456,0.445601802,-2.029283471,0.239374745,1.553429534,-0.708032039,0.091986894,1.012634794,-1.246994531,1.602996356,-0.863797533,0.693039085,-0.312089653,ITS.cc.46
Italy,S,ECM.ERM,-0.122027632,-0.102039045,-1.510464387,0.421489654,2.023415468,-0.884361664,0.091986894,1.012634794,-1.246994531,1.602996356,-0.863797533,0.133811673,0.299050419,ITS.cc.47
