site,veg,symbiont,ITS.otus,ITS.chao1,ph,vwc,soilN,soilCN,sla,ldmc,leafN,temp,precip,PCOA1,PCOA2,X
France,S,Nfix,0.586776834,0.553115538,-1.347132453,-0.483820503,-0.836310709,-0.258420672,0.895573777,0.083727959,1.205681334,0.493382068,0.388543786,-0.110100595,-1.058012767,ITS.cc.169
France,S,Nfix,0.232137859,0.243733287,0.737751644,-1.021775112,-0.604082365,-0.242968352,0.895573777,0.083727959,1.205681334,0.493382068,0.388543786,0.249348967,-0.173977449,ITS.cc.170
France,NS,Nfix,-0.561420114,-0.615953883,0.574419711,-0.845747151,-0.244681357,-0.083365489,0.895573777,0.083727959,1.205681334,0.493382068,0.388543786,-0.508907258,-0.713758702,ITS.cc.171
France,NS,Nfix,-0.009812095,-0.036600328,0.535988667,-0.778297185,-0.104238501,-0.096614382,0.895573777,0.083727959,1.205681334,0.493382068,0.388543786,0.145031216,-1.351294901,ITS.cc.172
France,NS,Nfix,1.1625325,1.476073933,0.584027471,0.848727611,-0.421617238,-0.32536996,0.895573777,0.083727959,1.205681334,0.493382068,0.388543786,0.011797526,-1.313651999,ITS.cc.173
France,NS,Nfix,1.365656826,1.144337736,0.363048973,0.67269965,-0.102026803,-0.369486119,0.895573777,0.083727959,1.205681334,0.493382068,0.388543786,0.00275609,-0.400332174,ITS.cc.174
France,NS,Nfix,0.31168305,0.353263983,0.487949863,-0.490400987,-0.243575508,-0.102766472,0.895573777,0.083727959,1.205681334,0.493382068,0.388543786,-0.028600515,-0.661444278,ITS.cc.175
France,NS,Nfix,1.84008707,2.084419453,-0.126946829,-0.893455663,1.503666317,-0.84771976,0.895573777,0.083727959,1.205681334,0.493382068,0.388543786,1.682386279,-0.088022276,ITS.cc.176
France,NS,Nfix,-0.943994602,-0.825060986,-0.309494284,-0.133409702,1.5302067,-0.816785664,0.895573777,0.083727959,1.205681334,0.493382068,0.388543786,-0.31635503,-0.898141027,ITS.cc.177
France,NS,Nfix,-0.077520204,0.009804339,-0.299886524,-0.559496075,-0.31434986,-0.184111813,0.895573777,0.083727959,1.205681334,0.493382068,0.388543786,-0.375713026,-1.640093087,ITS.cc.178
France,NS,Nfix,0.410167572,0.431747179,-0.799490086,-0.554560711,0.80034619,-0.126363648,0.895573777,0.083727959,1.205681334,0.493382068,0.388543786,-0.18317213,-0.663278792,ITS.cc.179
Switzerland,NS,Nfix,-0.445416711,-0.26901849,-0.059692503,0.529574112,-0.839628257,-0.077599906,0.067193677,0.396308283,0.609929781,0.27145921,0.727067299,0.000411075,-0.100051003,ITS.cc.18
France,NS,Nfix,0.781851945,0.683554677,0.286186886,-0.816134971,-0.568695189,-0.235899446,0.895573777,0.083727959,1.205681334,0.493382068,0.388543786,-0.146529762,-1.213323241,ITS.cc.180
Czech Rep,S,ECM.ERM,-0.998918662,-1.042399165,-1.481641104,-1.29651034,-0.539943108,0.082839167,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.490228092,-2.783382979,ITS.cc.181
Czech Rep,S,ECM.ERM,0.500129394,0.491113981,-0.933998738,-1.25209207,-0.172801155,0.109554871,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,0.375501505,-1.401124351,ITS.cc.182
Czech Rep,S,ECM.ERM,0.439523535,0.075062565,-1.66418856,-1.000388537,0.736206934,0.156138711,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,1.825871623,-0.377678626,ITS.cc.183
Czech Rep,S,ECM.ERM,-0.924581787,-0.652959998,-2.086930035,-1.020129991,-0.451475168,0.1169164,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.437253984,-2.709279785,ITS.cc.184
Czech Rep,S,ECM.ERM,-0.312841393,-0.125629899,-1.462425582,-0.936228813,-0.495709138,-0.126105889,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.328936712,-2.653981755,ITS.cc.185
Czech Rep,S,ECM.ERM,-0.460568176,-0.261656406,-1.654580799,-1.123772622,0.677596923,-0.022283904,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.279039603,-2.809117947,ITS.cc.186
Czech Rep,S,ECM.ERM,-0.624866873,-0.500467904,-1.683404081,-1.128707985,-0.318773257,-0.137504295,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.413088017,-2.7224047,ITS.cc.187
Czech Rep,S,ECM.ERM,-0.410378948,-0.391623023,-1.500856626,-0.269954756,-0.265692493,-0.208463888,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.17250671,-2.704955667,ITS.cc.188
Czech Rep,S,ECM.ERM,-0.702991614,-0.603455331,-1.90438258,-1.015194627,0.523883876,0.120990099,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.395908974,-2.573781739,ITS.cc.189
