,Kingdom,Phylum,Class,Order,Family,Genus,Species 
OTU14607,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14608,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
OTU14609,Fungi,Ascomycota,,,,,
OTU14610,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,
OTU14611,Fungi,Ascomycota,Dothideomycetes,Dothideales,,,
OTU14612,Fungi,Ascomycota,Pezizomycetes,Pezizales,,,
OTU14613,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,
OTU14614,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14615,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14616,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Postia,Postia undosa
OTU14617,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14618,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14619,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,,
OTU14620,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,,,
OTU14621,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14622,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14623,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
OTU14624,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
OTU14625,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
OTU14626,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14627,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,,,
OTU14628,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14629,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,,
OTU14630,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14631,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
OTU14632,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Meliniomyces,
OTU14633,Viridiplantae,Anthophyta,Monocotyledonae,Asparagales,,,
OTU14634,Viridiplantae,Anthophyta,Eudicotyledonae,Laurales,,,
OTU14635,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,,,
OTU14637,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Acervus,Acervus flavidus
