site,veg,site.veg,plant.species,root microb,coord.X,coord.Y,elevation,VWC,pH,Tube,SampleID,soilN2,soilC2
Czech Rep,NS,Czech Rep.NS,Calamagrostis villosa,AMF,15.537582,50.769048,1346.26,44.5,4.17,195,ITS.cc.195,0.713,12.523
Czech Rep,NS,Czech Rep.NS,Calamagrostis villosa,AMF,15.541381,50.76953,1347.22,27.3,3.98,196,ITS.cc.196,0.814,11.875
Czech Rep,NS,Czech Rep.NS,Calamagrostis villosa,AMF,15.541395,50.769314,1345.07,29.4,3.78,197,ITS.cc.197,2.012,31.466
Czech Rep,NS,Czech Rep.NS,Calamagrostis villosa,AMF,15.543746,50.769548,1337.74,18.4,4.03,198,ITS.cc.198,1.422,22.277
Czech Rep,NS,Czech Rep.NS,Calamagrostis villosa,AMF,15.544362,50.769905,1331.35,17,3.94,199,ITS.cc.199,2.176,35.452
Czech Rep,NS,Czech Rep.NS,Calamagrostis villosa,AMF,15.544231,50.770384,1333.84,17.4,3.77,200,ITS.cc.200,0.783,9.391
Sweden,S,Sweden.S,Salix lapponum,AMF,18.736889,68.360658,740,27.8,6.06,201,ITS.cc.201,1.057,13.633
Sweden,S,Sweden.S,Salix lapponum,AMF,18.736889,68.360658,740,25.4,6.4,202,ITS.cc.202,1.772,23.853
Sweden,S,Sweden.S,Salix lapponum,AMF,18.736889,68.360658,740,26.4,6.24,203,ITS.cc.203,0.997,13.897
Sweden,S,Sweden.S,Salix lapponum,AMF,18.736889,68.360658,740,25.3,6.28,204,ITS.cc.204,1.054,13.443
Sweden,S,Sweden.S,Salix lapponum,AMF,18.736889,68.360658,740,31.7,6.3,205,ITS.cc.205,1.16,15.772
Sweden,S,Sweden.S,Salix lapponum,AMF,18.736889,68.360658,740,29.4,5.23,206,ITS.cc.206,1.064,14.494
Sweden,S,Sweden.S,Salix lapponum,AMF,18.736889,68.360658,740,24.8,5.75,207,ITS.cc.207,0.854,14.753
Sweden,S,Sweden.S,Salix lapponum,AMF,18.736889,68.360658,740,24.8,5.7,208,ITS.cc.208,1.783,29.371
Sweden,NS,Sweden.NS,Trollius europaeus,AMF,18.736889,68.360658,740,37.7,6.17,209,ITS.cc.209,0.587,6.849
Sweden,NS,Sweden.NS,Trollius europaeus,AMF,18.736889,68.360658,740,29.4,6.53,210,ITS.cc.210,0.833,10.871
Sweden,NS,Sweden.NS,Trollius europaeus,AMF,18.736889,68.360658,740,25.3,6.42,211,ITS.cc.211,1.096,15.992
Sweden,NS,Sweden.NS,Trollius europaeus,AMF,18.736889,68.360658,740,27.5,6.51,212,ITS.cc.212,1.241,15.493
Sweden,NS,Sweden.NS,Trollius europaeus,AMF,18.736889,68.360658,740,32.4,5.9,213,ITS.cc.213,0.762,10.217
Sweden,NS,Sweden.NS,Trollius europaeus,AMF,18.736889,68.360658,740,31.7,5.62,214,ITS.cc.214,0.896,12.303
Sweden,NS,Sweden.NS,Trollius europaeus,AMF,18.736889,68.360658,740,25.2,5.68,215,ITS.cc.215,0.854,11.73
Sweden,NS,Sweden.NS,Trollius europaeus,AMF,18.736889,68.360658,740,36.1,5.43,216,ITS.cc.216,0.781,11.414
China,S,China.S,Potentilla fruticosa,AMF,101.866347,33.665536,3506,42.7,6.8,217,ITS.cc.217,0.135204941,2.924132586
China,S,China.S,Potentilla fruticosa,AMF,101.866348,33.665536,3506,43.8,7.6,218,ITS.cc.218,0.252642721,3.852763414
China,S,China.S,Potentilla fruticosa,AMF,101.866349,33.665536,3506,44.5,7.6,219,ITS.cc.219,0.566409647,7.62853384
China,S,China.S,Potentilla fruticosa,AMF,101.86635,33.665536,3506,45.1,7.1,220,ITS.cc.220,0.160825297,2.865310431
China,S,China.S,Potentilla fruticosa,AMF,101.866351,33.665536,3506,45.6,6.1,221,ITS.cc.221,0.214781642,3.274908543
China,S,China.S,Potentilla fruticosa,AMF,101.866352,33.665536,3506,46.3,6.4,222,ITS.cc.222,0.473723501,6.276756287
China,S,China.S,Potentilla fruticosa,AMF,101.866353,33.665536,3506,47.3,6.8,223,ITS.cc.223,0.095264345,2.068910599
China,S,China.S,Potentilla fruticosa,AMF,101.866354,33.665536,3506,48.1,6.8,224,ITS.cc.224,0.771380246,9.869379044
China,S,China.S,Potentilla fruticosa,AMF,101.866355,33.665536,3506,48.7,6.8,225,ITS.cc.225,0.824367404,11.42596817
China,S,China.S,Potentilla fruticosa,AMF,101.866356,33.665536,3506,49.6,6.8,226,ITS.cc.226,0.880058885,12.14098263
China,NS,China.NS,Agrostis trinii,AMF,101.866357,33.665536,3506,53.2,7.26,227,ITS.cc.227,0.539997697,7.791235447
China,NS,China.NS,Agrostis trinii,AMF,101.866358,33.665536,3506,53.7,7.7,228,ITS.cc.228,0.461035341,7.674352646
China,NS,China.NS,Agrostis trinii,AMF,101.866359,33.665536,3506,53.7,7.14,229,ITS.cc.229,0.355725974,6.241310596
China,NS,China.NS,Agrostis trinii,AMF,101.86636,33.665536,3506,54.2,7.5,230,ITS.cc.230,0.1824743,3.822002172
China,NS,China.NS,Agrostis trinii,AMF,101.866361,33.665536,3506,53.6,7.23,231,ITS.cc.231,0.159658849,3.748466253
China,NS,China.NS,Agrostis trinii,AMF,101.866362,33.665536,3506,53.3,7.61,232,ITS.cc.232,0.239585578,4.751506329
China,NS,China.NS,Agrostis trinii,AMF,101.866363,33.665536,3506,52.4,7.74,233,ITS.cc.233,0.145700812,3.323760271
China,NS,China.NS,Agrostis trinii,AMF,101.866364,33.665536,3506,52.5,7.66,234,ITS.cc.234,0.213898256,4.438272953
China,NS,China.NS,Agrostis trinii,AMF,101.866365,33.665536,3506,51.9,7.54,235,ITS.cc.235,0.158442676,3.433124542
China,NS,China.NS,Agrostis trinii,AMF,101.866366,33.665536,3506,51,7.6,236,ITS.cc.236,0.221980438,4.343776226
US CA,NS,US CA.NS,Koeleria Macrantha,AMF,-118.2409112,37.57644743,3750,6.6,6.3,237,ITS.cc.237,0.279,3.278
US CA,NS,US CA.NS,Koeleria Macrantha,AMF,-118.2409112,37.57644743,3750,6.6,6.3,238,ITS.cc.238,0.311,3.696
US CA,NS,US CA.NS,Koeleria Macrantha,AMF,-118.2409112,37.57644743,3750,6.1,6.31,239,ITS.cc.239,0.37,4.408
US CA,NS,US CA.NS,Koeleria Macrantha,AMF,-118.2409112,37.57644743,3750,6.1,6.31,240,ITS.cc.240,0.524,4.197
US CA,NS,US CA.NS,Koeleria Macrantha,AMF,-118.2409112,37.57644743,3750,7.5,5.86,241,ITS.cc.241,0.207,3.431
US CA,NS,US CA.NS,Koeleria Macrantha,AMF,-118.2409112,37.57644743,3750,7.5,5.86,242,ITS.cc.242,0.368,2.755
US CA,NS,US CA.NS,Koeleria Macrantha,AMF,-118.2409112,37.57644743,3750,5.4,7.1,243,ITS.cc.243,0.341,2.151
US CA,NS,US CA.NS,Koeleria Macrantha,AMF,-118.2409112,37.57644743,3750,5.4,7.1,244,ITS.cc.244,0.111,2.107
US CA,NS,US CA.NS,Koeleria Macrantha,AMF,-118.2409112,37.57644743,3750,5.3,5.2,245,ITS.cc.245,0.173,2.915
US CA,NS,US CA.NS,Koeleria Macrantha,AMF,-118.2409113,37.57644743,3750,5.3,5.2,246,ITS.cc.246,0.191,2.37
US CA,S,US CA.S,Artemisia rothrockii,AMF,-118.2409113,37.57644743,3750,5.8,6.27,247,ITS.cc.247,0.249,3.105
US CA,S,US CA.S,Artemisia rothrockii,AMF,-118.2409113,37.57644743,3750,5.8,6.27,248,ITS.cc.248,0.219,3.357
US CA,S,US CA.S,Artemisia rothrockii,AMF,-118.2409113,37.57644743,3750,6.3,5.89,249,ITS.cc.249,0.299,4.991
US CA,S,US CA.S,Artemisia rothrockii,AMF,-118.2409113,37.57644743,3750,6.3,5.89,250,ITS.cc.250,0.266,3.289
US CA,S,US CA.S,Artemisia rothrockii,AMF,-118.2409113,37.57644743,3750,5.4,5.88,251,ITS.cc.251,0.122,2.315
US CA,S,US CA.S,Artemisia rothrockii,AMF,-118.2409113,37.57644743,3750,5.4,5.88,252,ITS.cc.252,0.114,2.417
US CA,S,US CA.S,Artemisia rothrockii,AMF,-118.2409113,37.57644743,3750,8.1,6.25,253,ITS.cc.253,0.2,2.96
US CA,S,US CA.S,Artemisia rothrockii,AMF,-118.2409113,37.57644743,3750,8.1,6.25,254,ITS.cc.254,0.416,6.159
US CA,S,US CA.S,Artemisia rothrockii,AMF,-118.2409113,37.57644743,3750,5.7,5.69,255,ITS.cc.255,0.089,2.305
US CA,S,US CA.S,Artemisia rothrockii,AMF,-118.2409114,37.57644743,3750,5.7,5.69,256,ITS.cc.256,0.267,2.783
