site,veg,site.veg,plant.species,root microb,coord.X,coord.Y,elevation,VWC,pH,Tube,SampleID,soilN2,soilC2
Italy,S,Italy.S,Rhododendron ferrugineum,ECM.ERM,10.59194444,46.6736111,2359,37.81,4.19,47,ITS.cc.47,2.825,9.58
Italy,S,Italy.S,Rhododendron ferrugineum,ECM.ERM,10.59194444,46.6736111,2369,45.14,3.71,48,ITS.cc.48,1.277,24.124
Italy,S,Italy.S,Rhododendron ferrugineum,ECM.ERM,10.59194444,46.6736111,2380,58.36,3.95,49,ITS.cc.49,1.572,5.575
Italy,S,Italy.S,Rhododendron ferrugineum,ECM.ERM,10.59194444,46.6736111,2386,35.76,3.72,50,ITS.cc.50,2.981,11.557
Italy,NS,Italy.NS,Nardus stricta,AMF,10.59194444,46.6736111,2344,57.28,3.72,51,ITS.cc.51,4.838,10.161
Italy,NS,Italy.NS,Nardus stricta,AMF,10.59194444,46.6736111,2337,31.23,4.68,52,ITS.cc.52,2.469,11.158
Italy,NS,Italy.NS,Luzula alpino,AMF,10.59194444,46.6736111,2349,23.59,4.32,53,ITS.cc.53,3.122,6.767
Italy,NS,Italy.NS,Nardus stricta,AMF,10.59194444,46.6736111,2350,53.86,3.81,54,ITS.cc.54,7.458,19.217
Italy,NS,Italy.NS,Nardus stricta,AMF,10.59194444,46.6736111,2344,18.36,4.58,55,ITS.cc.55,0.889,6.146
Italy,NS,Italy.NS,Agrostis rupestris,AMF,10.59194444,46.6736111,2343,30.02,3.98,56,ITS.cc.56,2.595,11.666
Italy,NS,Italy.NS,Homogyne alpina,AMF,10.59194444,46.6736111,2359,22.69,4.08,57,ITS.cc.57,2.413,8.044
Italy,NS,Italy.NS,Nardus stricta,AMF,10.59194444,46.6736111,2370,38.76,3.73,58,ITS.cc.58,0.759,12.185
Italy,NS,Italy.NS,Poa alpina,AMF,10.59194444,46.6736111,2380,45.15,3.96,59,ITS.cc.59,3.031,12.525
Italy,NS,Italy.NS,Nardus stricta,AMF,10.59194444,46.6736111,2389,28.9,3.67,60,ITS.cc.60,1.885,10.459
US CO,S,US CO.S,Salix glauca,AMF,-105.6703,40.1536,3530,10,7.7,61,ITS.cc.61,0.707,26.781
US CO,S,US CO.S,Salix glauca,AMF,-105.6704,40.1536,3530,8.5,6.4,62,ITS.cc.62,0.393,28.174
US CO,S,US CO.S,Salix glauca,AMF,-105.6705,40.1536,3530,13,6.1,63,ITS.cc.63,0.36,19.173
US CO,S,US CO.S,Salix glauca,AMF,-105.6706,40.1536,3530,9.5,5.7,64,ITS.cc.64,2.013,28.254
US CO,S,US CO.S,Salix glauca,AMF,-105.6707,40.1536,3530,6.6,5.3,65,ITS.cc.65,1.681,21.147
