Tube,root.microb3,Vegetation,Location,SampleID,LDMC..g.g.,SLA..cm.2.g.,X15N,X13C,Wt..N.,Wt..C.
104,AMF,S,Mexico,ITS.cc.104,0.211488251,39.9845679,-5.801372,-26.8846528,1.893318254,49.58752344
105,AMF,S,Mexico,ITS.cc.105,0.307877814,32.75718016,-5.367416,-28.188624,1.81748009,49.29734292
106,AMF,S,Mexico,ITS.cc.106,0.253546099,38.39160839,-6.0886808,-29.256706,1.120446933,45.70057663
107,AMF,S,Mexico,ITS.cc.107,0.227095517,40.75965665,-5.9739568,-28.9256512,1.669604418,47.88511747
108,AMF,S,Mexico,ITS.cc.108,0.287826087,35.33836858,-4.9943136,-28.2777152,1.931967901,49.25569132
109,AMF,S,Mexico,ITS.cc.109,0.275862069,33.16576087,-4.9753592,-28.9813332,1.428992905,39.22534098
110,AMF,S,Mexico,ITS.cc.110,0.261146497,36.89430894,-5.2078,-27.0638476,2.203378623,45.88202534
121,Nfix,S,Spain Ordesa ,ITS.cc.121,0.49687593,5.748502994,-2.0275735,-26.2224392,2.05062603,50.56602668
122,Nfix,S,Spain Ordesa ,ITS.cc.122,0.468551461,8.06779661,-1.3937995,-28.1527944,2.580396735,49.01256747
123,Nfix,S,Spain Ordesa ,ITS.cc.123,0.447396015,6.2890625,-1.833256,-29.1422024,1.951155099,48.96730228
124,Nfix,S,Spain Ordesa ,ITS.cc.124,0.41314554,8.181818182,-2.096332,-27.5621784,2.488774037,49.1823756
125,Nfix,S,Spain Ordesa ,ITS.cc.125,0.51756641,5.463576159,-1.715669,-28.4576936,2.951291469,48.7646026
126,Nfix,S,Spain Ordesa ,ITS.cc.126,0.453441296,7.678571429,-2.084374,-27.0503112,2.840948137,49.22274662
127,Nfix,S,Spain Ordesa ,ITS.cc.127,0.447368421,6.470588235,-1.8442175,-28.2254856,2.615253027,49.19094685
128,Nfix,S,Spain Ordesa ,ITS.cc.128,0.458392102,7.476923077,-3.138671,-27.5712648,1.949211595,50.57283809
129,Nfix,S,Spain Ordesa ,ITS.cc.129,0.41260745,7.430555556,-3.0420105,-28.9039368,2.296070984,47.66050965
130,Nfix,S,Spain Ordesa ,ITS.cc.130,0.433802817,6.796536797,-2.3783415,-28.4607224,2.742491243,48.97123604
141,AMF,S,Spain ,ITS.cc.141,0.608333333,57.1964384,-4.09,-24.54,1.54,50.43
142,AMF,S,Spain ,ITS.cc.142,0.490476191,52.3978641,-5.35,-26.37,1.13,49.31
143,AMF,S,Spain ,ITS.cc.143,0.466666667,60.1329762,-2.76,-24.96,1.52,50.38
144,AMF,S,Spain ,ITS.cc.144,0.457142857,71.1751042,-1.95,-26.27,1.29,50.38
145,AMF,S,Spain ,ITS.cc.145,0.43125,68.9223188,-3.47,-26.2,1.19,50.39
146,AMF,S,Spain ,ITS.cc.146,0.405263158,75.0735065,-2.95,-24.26,1.71,49.83
147,AMF,S,Spain ,ITS.cc.147,0.336,76.8757143,-3.84,-24.88,1.39,50.55
148,AMF,S,Spain ,ITS.cc.148,0.35,76.12755181,-3.13,-25.92,1.17,50.68
149,AMF,S,Spain ,ITS.cc.149,0.489473684,57.3350538,-3.244999302,-25.34251799,1.398359059,50.4462031
150,AMF,S,Spain ,ITS.cc.150,0.545833333,50.0248092,-3.414401875,-25.37381726,1.335984716,50.40741706
161,Nfix,S,France ,ITS.cc.161,0.318929426,154.2053446,-2.0953355,-30.4385288,3.951930674,50.59574513
162,Nfix,S,France ,ITS.cc.162,0.3807005,106.023282,-1.546264,-27.9094808,3.249007277,52.35897372
163,Nfix,S,France ,ITS.cc.163,0.303355705,153.9557522,-1.6389385,-29.557148,3.427348283,51.37451753
164,Nfix,S,France ,ITS.cc.164,0.347533145,106.3946216,-1.6433752,-30.1810272,2.739113825,49.25090204
165,Nfix,S,France ,ITS.cc.165,0.370651204,132.1540313,-1.6124496,-28.1015576,3.348455861,51.68095603
166,Nfix,S,France ,ITS.cc.166,0.363393041,131.0708215,-1.8169576,-26.6872348,3.105046139,52.3802187
167,Nfix,S,France ,ITS.cc.167,0.349934683,150.9986001,-1.7341568,-29.783154,3.556588955,51.61276227
168,Nfix,S,France ,ITS.cc.168,0.386982667,92.72394881,-1.3490832,-27.282526,3.549934396,49.81761712
169,Nfix,S,France ,ITS.cc.169,0.337573386,116.6425121,-1.3710304,-26.8158096,3.629788677,50.89700579
170,Nfix,S,France ,ITS.cc.170,0.40344125,110.1178451,-1.2443352,-27.895028,3.249829457,51.83552068
181,"ECM,ERM",S,Czech Rep ,ITS.cc.181,0.310369573,21.21387283,-5.4482216,-29.0957344,1.163864815,51.44480899
182,"ECM,ERM",S,Czech Rep ,ITS.cc.182,0.43164488,21.35646688,-0.7545136,-28.046888,1.302062057,52.54908416
183,"ECM,ERM",S,Czech Rep ,ITS.cc.183,0.47954056,20.17964072,-4.938448,-26.2184936,1.542671387,52.57185343
184,"ECM,ERM",S,Czech Rep ,ITS.cc.184,0.615460157,19.23865968,-4.5298315,-27.2896128,1.5475645,51.15855645
185,"ECM,ERM",S,Czech Rep ,ITS.cc.185,0.6347954,19.90730988,-3.7393328,-27.252154,1.767054509,50.83980959
186,"ECM,ERM",S,Czech Rep ,ITS.cc.186,0.560326531,18.76456876,-3.4239576,-28.6463754,1.392692433,51.39501774
187,"ECM,ERM",S,Czech Rep ,ITS.cc.187,0.552681388,23.26484018,-1.1710202,-27.2923677,1.469612889,52.6091408
188,"ECM,ERM",S,Czech Rep ,ITS.cc.188,0.531012941,19.02521008,-5.2756186,-25.4769271,1.738867439,52.28757274
189,"ECM,ERM",S,Czech Rep ,ITS.cc.189,0.49937578,20.41666667,-4.4161684,-26.4967241,1.465440764,52.21901146
190,"ECM,ERM",S,Czech Rep ,ITS.cc.190,0.602657387,19.34383202,-4.8763386,-26.2574252,1.470429447,52.10898144
201,"ECM,ERM",S,Sweden ,ITS.cc.201,0.198151951,161.0362694,-0.0522032,-28.6269932,5.533403947,49.8374385
202,"ECM,ERM",S,Sweden ,ITS.cc.202,0.194480946,181.2162162,0.0365832,-28.062074,4.031973295,51.12635418
203,"ECM,ERM",S,Sweden ,ITS.cc.203,0.212121212,155.1339286,-0.3415072,-29.2951772,3.623564435,50.75560126
204,"ECM,ERM",S,Sweden ,ITS.cc.204,0.213556175,142.3913043,-0.135004,-28.7383572,4.067186372,50.66862942
205,"ECM,ERM",S,Sweden ,ITS.cc.205,0.206624606,151.4122137,0.0425688,-28.8780684,3.67673897,51.04069427
206,"ECM,ERM",S,Sweden ,ITS.cc.206,0.2,175.6741573,-0.0831288,-27.9183132,5.765058792,49.26254746
207,"ECM,ERM",S,Sweden ,ITS.cc.207,0.247715736,141.7418033,-0.3026008,-29.3032764,3.902759641,51.55845344
208,"ECM,ERM",S,Sweden ,ITS.cc.208,0.20794702,152.133758,0.4396136,-28.0104416,3.388795989,52.12950277
217,AMF,S,China,ITS.cc.217,0.316566411,131.2,-0.977121021,-27.45832099,2.731606082,49.91439829
218,AMF,S,China,ITS.cc.218,0.351719606,128.7,-1.338208059,-27.50395258,2.744875113,50.08735529
219,AMF,S,China,ITS.cc.219,0.317963622,130.8,-1.654331809,-27.51078983,2.661829111,50.08725196
220,AMF,S,China,ITS.cc.220,0.319264966,131.3,-1.42220716,-27.3031044,2.656538607,49.8511942
221,AMF,S,China,ITS.cc.221,0.308339228,130.1,-1.130425985,-27.31884641,2.709976464,49.71646262
222,AMF,S,China,ITS.cc.222,0.346732425,129.4,-1.273047509,-27.34312264,2.725528108,49.55285322
223,AMF,S,China,ITS.cc.223,0.323818324,128.8,-1.043980372,-27.3484355,2.597385777,49.89267888
224,AMF,S,China,ITS.cc.224,0.34647422,127.2,-1.345322948,-27.24896495,2.690736774,50.00662831
225,AMF,S,China,ITS.cc.225,0.339019955,127.6,-1.232525409,-27.35020448,2.672916468,50.19963855
226,AMF,S,China,ITS.cc.226,0.33634118,128.9,-1.458209758,-27.28207899,2.784862547,49.765138
247,AMF,S,US CA,ITS.cc.247,0.301477833,85.02465314,1.2855866,-28.5678476,2.0688699,46.7278606
248,AMF,S,US CA,ITS.cc.248,0.356481481,84.09660515,2.2423684,-28.0907717,2.1667325,48.4158742
249,AMF,S,US CA,ITS.cc.249,0.358299595,54.70314204,0.8621426,-27.6592763,2.0460887,47.323646
250,AMF,S,US CA,ITS.cc.250,0.34765625,70.75694855,1.3702754,-27.9540302,2.6138726,47.8012788
251,AMF,S,US CA,ITS.cc.251,0.350367647,62.98669023,1.3218818,-28.0299977,2.4751484,47.4799457
252,AMF,S,US CA,ITS.cc.252,0.232142857,98.71794872,2.0014086,-27.6633279,2.3731019,47.9264454
253,AMF,S,US CA,ITS.cc.253,0.240748031,74.58650715,1.4499232,-25.9251915,2.6638276,47.1401988
254,AMF,S,US CA,ITS.cc.254,0.304651163,89.5607339,2.396623,-27.7605663,2.5776405,47.8119749
255,AMF,S,US CA,ITS.cc.255,0.245374449,94.41242244,1.0879794,-27.4415028,2.4473917,49.0185771
256,AMF,S,US CA,ITS.cc.256,0.292631579,65.94724221,2.1657452,-27.9428883,2.3443265,46.8288714
