temp,precip,X
-1.696039048,-0.773755508,61
-1.696039048,-0.773755508,64
-1.696039048,-0.773755508,65
-1.696039048,-0.773755508,66
-1.696039048,-0.773755508,67
-1.696039048,-0.773755508,68
-1.696039048,-0.773755508,69
0.237826599,0.767521424,7
-1.696039048,-0.773755508,70
-1.696039048,-0.773755508,71
-1.696039048,-0.773755508,72
-1.696039048,-0.773755508,74
-1.696039048,-0.773755508,77
-1.696039048,-0.773755508,79
0.237826599,0.767521424,8
0.631155205,1.929005214,81
0.631155205,1.929005214,85
0.631155205,1.929005214,88
0.237826599,0.767521424,9
0.631155205,1.929005214,90
0.631155205,1.929005214,91
0.631155205,1.929005214,92
0.631155205,1.929005214,93
0.631155205,1.929005214,94
0.631155205,1.929005214,95
0.631155205,1.929005214,96
0.631155205,1.929005214,97
0.631155205,1.929005214,98
0.631155205,1.929005214,99
