Vegetation,Plant species,root microb3,GPS coords (dd),Elevation (masl) ,VWC (%) ,pH ,Location ,LDMC (g/g),SLA (cm^2/g),15N,13C,Wt% N*,Wt% C*,C:N ratio,soilN2,soilC2,Tube,SampleID
S,Echinospartum horridum,Nfix,"42.602807, 0.03320727633958942",1936.826,34.5,6.1,Spain Ordesa ,0.468551461,8.06779661,-1.3937995,-28.1527944,2.580396735,49.01256747,18.99419838,1.356,4.653,122,ITS.cc.122
S,Echinospartum horridum,Nfix,"42.602807, 0.03320727633958942",1937.528,33.5,7.1,Spain Ordesa ,0.447396015,6.2890625,-1.833256,-29.1422024,1.951155099,48.96730228,25.0965709,0.644,7.52,123,ITS.cc.123
S,Echinospartum horridum,Nfix,"42.602807, 0.03320727633958942",1927.514,31.9,5.9,Spain Ordesa ,0.41314554,8.181818182,-2.096332,-27.5621784,2.488774037,49.1823756,19.76168783,1.172,3.996,124,ITS.cc.124
S,Echinospartum horridum,Nfix,"42.602807, 0.03320727633958942",1927.946,33.8,6.5,Spain Ordesa ,0.51756641,5.463576159,-1.715669,-28.4576936,2.951291469,48.7646026,16.52314016,1.165,4.285,125,ITS.cc.125
S,Echinospartum horridum,Nfix,"42.602807, 0.03320727633958942",1951.934,32.2,7.5,Spain Ordesa ,0.453441296,7.678571429,-2.084374,-27.0503112,2.840948137,49.22274662,17.32616867,0.288,3.353,126,ITS.cc.126
S,Echinospartum horridum,Nfix,"42.602807, 0.03320727633958942",1954.695,30,6.9,Spain Ordesa ,0.447368421,6.470588235,-1.8442175,-28.2254856,2.615253027,49.19094685,18.80924956,0.268,2.789,127,ITS.cc.127
S,Echinospartum horridum,Nfix,"42.602807, 0.03320727633958942",1948.936,37,6.6,Spain Ordesa ,0.458392102,7.476923077,-3.138671,-27.5712648,1.949211595,50.57283809,25.9452787,0.512,5.316,128,ITS.cc.128
S,Echinospartum horridum,Nfix,"42.602807, 0.03320727633958942",1949.481,35.2,7.6,Spain Ordesa ,0.41260745,7.430555556,-3.0420105,-28.9039368,2.296070984,47.66050965,20.75741995,0.47,5.688,129,ITS.cc.129
S,Echinospartum horridum,Nfix,"42.602807, 0.03320727633958942",1949.955,31.4,7.8,Spain Ordesa ,0.433802817,6.796536797,-2.3783415,-28.4607224,2.742491243,48.97123604,17.85647854,0.411,5.162,130,ITS.cc.130
NS,"Linum catharticum, Echium vulgare, Arenaria grandiflora, Agrostis capillaris",AMF,"42.602807, 0.03320727633958942",1897.512,32.2,7.5,Spain Ordesa ,NA,NA,NA,NA,NA,NA,NA,0.512,3.498,131,ITS.cc.131
NS,"Linum catharticum, Echium vulgare, Arenaria grandiflora, Agrostis capillaris",AMF,"42.602807, 0.03320727633958942",1896.525,29.3,7.8,Spain Ordesa ,NA,NA,NA,NA,NA,NA,NA,0.754,7.17,132,ITS.cc.132
NS,"Linum catharticum, Echium vulgare, Arenaria grandiflora, Agrostis capillaris",AMF,"42.602807, 0.03320727633958942",1893.785,28.9,7.6,Spain Ordesa ,NA,NA,NA,NA,NA,NA,NA,0.553,6.108,133,ITS.cc.133
NS,"Linum catharticum, Echium vulgare, Arenaria grandiflora, Agrostis capillaris",AMF,"42.602807, 0.03320727633958942",1885.072,28.3,6.5,Spain Ordesa ,NA,NA,NA,NA,NA,NA,NA,0.614,5.307,134,ITS.cc.134
NS,"Linum catharticum, Echium vulgare, Arenaria grandiflora, Agrostis capillaris",AMF,"42.602807, 0.03320727633958942",1883.816,35.3,7.3,Spain Ordesa ,NA,NA,NA,NA,NA,NA,NA,0.299,2.534,135,ITS.cc.135
NS,"Linum catharticum, Echium vulgare, Arenaria grandiflora, Agrostis capillaris",AMF,"42.602807, 0.03320727633958942",1942.236,39.2,7.3,Spain Ordesa ,NA,NA,NA,NA,NA,NA,NA,0.429,2.934,136,ITS.cc.136
NS,"Linum catharticum, Echium vulgare, Arenaria grandiflora, Agrostis capillaris",AMF,"42.602807, 0.03320727633958942",1934.926,39.8,7,Spain Ordesa ,NA,NA,NA,NA,NA,NA,NA,0.417,4.982,137,ITS.cc.137
NS,"Linum catharticum, Echium vulgare, Arenaria grandiflora, Agrostis capillaris",AMF,"42.602807, 0.03320727633958942",1932.679,43.2,6.8,Spain Ordesa ,NA,NA,NA,NA,NA,NA,NA,0.391,2.505,138,ITS.cc.138
NS,"Linum catharticum, Echium vulgare, Arenaria grandiflora, Agrostis capillaris",AMF,"42.602807, 0.03320727633958942",1930.802,36.8,7.5,Spain Ordesa ,NA,NA,NA,NA,NA,NA,NA,0.36,3.311,139,ITS.cc.139
NS,"Linum catharticum, Echium vulgare, Arenaria grandiflora, Agrostis capillaris",AMF,"42.602807, 0.03320727633958942",1929.482,36.5,7,Spain Ordesa ,NA,NA,NA,NA,NA,NA,NA,0.291,2.522,140,ITS.cc.140
S,Juniperus communis,AMF," 42°35'35.52""N,   1° 4'24.61""E",2100,6.3,6.9,Spain ,0.608333333,57.1964384,-4.09,-24.54,1.54,50.43,32.74675325,0.505,6.62,141,ITS.cc.141
S,Juniperus communis,AMF," 42°35'35.16""N,   1° 4'24.56""E",2100,8.5,6.65,Spain ,0.490476191,52.3978641,-5.35,-26.37,1.13,49.31,43.63716814,1.791,26.629,142,ITS.cc.142
S,Juniperus communis,AMF," 42°35'35.21""N,   1° 4'25.19""E",2100,13.3,6.8,Spain ,0.466666667,60.1329762,-2.76,-24.96,1.52,50.38,33.14473684,1.505,20.495,143,ITS.cc.143
S,Juniperus communis,AMF," 42°35'35.06""N,   1° 4'25.24""E",2100,18.2,6.75,Spain ,0.457142857,71.1751042,-1.95,-26.27,1.29,50.38,39.05426357,0.639,8.996,144,ITS.cc.144
S,Juniperus communis,AMF," 42°35'34.75""N,   1° 4'25.29""E",2100,23,6.4,Spain ,0.43125,68.9223188,-3.47,-26.2,1.19,50.39,42.34453782,0.799,10.331,145,ITS.cc.145
S,Juniperus communis,AMF," 42°35'34.74""N,   1° 4'26.06""E",2100,12.3,6.4,Spain ,0.405263158,75.0735065,-2.95,-24.26,1.71,49.83,29.14035088,0.734,9.639,146,ITS.cc.146
S,Juniperus communis,AMF," 42°35'34.38""N,   1° 4'25.92""E",2100,14.2,6.63,Spain ,0.336,76.8757143,-3.84,-24.88,1.39,50.55,36.36690647,1.302,20.714,147,ITS.cc.147
S,Juniperus communis,AMF," 42°35'34.22""N,   1° 4'25.42""E",2100,11.5,6.75,Spain ,0.35,76.12755181,-3.13,-25.92,1.17,50.68,43.31623932,0.808,10.718,148,ITS.cc.148
S,Juniperus communis,AMF," 42°35'36.10""N,  1° 4'23.68""E",2100,12.2,5.9,Spain ,0.489473684,57.3350538,NA,NA,NA,NA,NA,0.984,13.27,149,ITS.cc.149
S,Juniperus communis,AMF," 42°35'36.19""N,   1° 4'22.95""E",2100,12.6,6,Spain ,0.545833333,50.0248092,NA,NA,NA,NA,NA,1.445,21.341,150,ITS.cc.150
NS,"Festuca gautieri, Hieracium pilosella, Achillea millefolium and Potentilla",AMF," 42°35'35.42""N,   1° 4'24.44""E",2100,7.8,6.1,Spain ,NA,NA,NA,NA,NA,NA,NA,0.924,12.778,151,ITS.cc.151
NS,"Festuca gautieri, Hieracium pilosella, Achillea millefolium and Potentilla",AMF," 42°35'35.14""N,   1° 4'24.73""E",2100,12.4,5.97,Spain ,NA,NA,NA,NA,NA,NA,NA,1.409,18.761,152,ITS.cc.152
NS,"Festuca gautieri, Hieracium pilosella, Achillea millefolium and Potentilla",AMF," 42°35'35.19""N,   1° 4'24.99""E",2100,11.6,6.3,Spain ,NA,NA,NA,NA,NA,NA,NA,1.131,11.567,153,ITS.cc.153
NS,"Festuca gautieri, Hieracium pilosella, Achillea millefolium and Potentilla",AMF," 42°35'34.97""N,   1° 4'25.19""E",2100,6.1,6.5,Spain ,NA,NA,NA,NA,NA,NA,NA,1.21,12.468,154,ITS.cc.154
NS,"Festuca gautieri, Hieracium pilosella, Achillea millefolium and Potentilla",AMF," 42°35'34.77""N,   1° 4'25.46""E",2100,15,6.36,Spain ,NA,NA,NA,NA,NA,NA,NA,1.342,17.71,155,ITS.cc.155
NS,"Festuca gautieri, Hieracium pilosella, Achillea millefolium and Potentilla",AMF," 42°35'34.68""N,   1° 4'26.00""E",2100,11.4,6.6,Spain ,NA,NA,NA,NA,NA,NA,NA,1.074,11.368,156,ITS.cc.156
NS,"Festuca gautieri, Hieracium pilosella, Achillea millefolium and Potentilla",AMF," 42°35'34.42""N,   1° 4'25.81""E",2100,17.3,6.38,Spain ,NA,NA,NA,NA,NA,NA,NA,1.067,11.454,157,ITS.cc.157
NS,"Festuca gautieri, Hieracium pilosella, Achillea millefolium and Potentilla",AMF," 42°35'34.26""N,   1° 4'25.15""E",2100,15,6.28,Spain ,NA,NA,NA,NA,NA,NA,NA,1.09,14.624,158,ITS.cc.158
NS,"Festuca gautieri, Hieracium pilosella, Achillea millefolium and Potentilla",AMF," 42°35'36.09""N,   1° 4'23.50""E",2100,16,6.52,Spain ,NA,NA,NA,NA,NA,NA,NA,0.918,8.121,159,ITS.cc.159
NS,"Festuca gautieri, Hieracium pilosella, Achillea millefolium and Potentilla",AMF," 42°35'36.04""N,   1° 4'22.96""E",2100,18.5,5.97,Spain ,NA,NA,NA,NA,NA,NA,NA,1.151,10.19,160,ITS.cc.160
S,Alnus alnobetula,Nfix," 45.42150, 6.178040",1813.88,21.6,5.54,France ,0.318929426,154.2053446,-2.0953355,-30.4385288,3.951930674,50.59574513,12.80279167,1.529,21.317,161,ITS.cc.161
S,Alnus alnobetula,Nfix," 45.42150, 6.178040",1801.382,18.13333333,5.26,France ,0.3807005,106.023282,-1.546264,-27.9094808,3.249007277,52.35897372,16.11537594,2.16,29.607,162,ITS.cc.162
S,Alnus alnobetula,Nfix," 45.42150, 6.178040",1785.521,21.33333333,4.367,France ,0.303355705,153.9557522,-1.6389385,-29.557148,3.427348283,51.37451753,14.98958182,1.835,26.214,163,ITS.cc.163
S,Alnus alnobetula,Nfix," 45.42150, 6.178040",1774.706,100,5.61,France ,0.347533145,106.3946216,-1.6433752,-30.1810272,2.739113825,49.25090204,17.98059708,1.012,12.168,164,ITS.cc.164
S,Alnus alnobetula,Nfix," 45.42150, 6.178040",1769.178,18.43333333,4.34,France ,0.370651204,132.1540313,-1.6124496,-28.1015576,3.348455861,51.68095603,15.43426528,2.342,27.52,165,ITS.cc.165
S,Alnus alnobetula,Nfix," 45.42150, 6.178040",1769.419,21.96666667,4.43,France ,0.363393041,131.0708215,-1.8169576,-26.6872348,3.105046139,52.3802187,16.86938498,2.384,28.188,166,ITS.cc.166
S,Alnus alnobetula,Nfix," 45.42150, 6.178040",1774.466,40.6,4.17,France ,0.349934683,150.9986001,-1.7341568,-29.783154,3.556588955,51.61276227,14.5118716,2.566,14.097,167,ITS.cc.167
S,Alnus alnobetula,Nfix," 45.42150, 6.178040",1860.022,12.36666667,4.12,France ,0.386982667,92.72394881,-1.3490832,-27.282526,3.549934396,49.81761712,14.03339092,1.158,14.714,168,ITS.cc.168
S,Alnus alnobetula,Nfix," 45.42150, 6.178040",1860.984,19.46666667,4.36,France ,0.337573386,116.6425121,-1.3710304,-26.8158096,3.629788677,50.89700579,14.02203002,0.239,2.927,169,ITS.cc.169
S,Alnus alnobetula,Nfix," 45.42150, 6.178040",1769.899,8.566666667,6.53,France ,0.40344125,110.1178451,-1.2443352,-27.895028,3.249829457,51.83552068,15.95022796,0.449,5.597,170,ITS.cc.170
NS,"Vaccinium myrtillus,  Festuca spp. ",AMF," 45.42150, 6.178040",1813.88,12.13333333,6.36,France ,NA,NA,NA,NA,NA,NA,NA,0.774,11.396,171,ITS.cc.171
NS,"Vaccinium myrtillus,  Festuca spp. ",AMF," 45.42150, 6.178040",1801.382,13.5,6.32,France ,NA,NA,NA,NA,NA,NA,NA,0.901,13.097,172,ITS.cc.172
NS,"Vaccinium myrtillus,  Festuca spp. ",AMF," 45.42150, 6.178040",1785.521,46.46666667,6.37,France ,NA,NA,NA,NA,NA,NA,NA,0.614,6.938,173,ITS.cc.173
NS,"Vaccinium myrtillus,  Festuca spp. ",AMF," 45.42150, 6.178040",1774.706,42.9,6.14,France ,NA,NA,NA,NA,NA,NA,NA,0.903,9.64,174,ITS.cc.174
NS,"Vaccinium myrtillus,  Festuca spp. ",AMF," 45.42150, 6.178040",1769.178,19.33333333,6.27,France ,NA,NA,NA,NA,NA,NA,NA,0.775,11.198,175,ITS.cc.175
NS,"Vaccinium myrtillus,  Festuca spp. ",AMF," 45.42150, 6.178040",1769.419,11.16666667,5.63,France ,NA,NA,NA,NA,NA,NA,NA,2.355,9.207,176,ITS.cc.176
NS,"Vaccinium myrtillus,  Festuca spp. ",AMF," 45.42150, 6.178040",1774.466,26.56666667,5.44,France ,NA,NA,NA,NA,NA,NA,NA,2.379,10.342,177,ITS.cc.177
NS,"Vaccinium myrtillus,  Festuca spp. ",AMF," 45.42150, 6.178040",1860.022,17.93333333,5.45,France ,NA,NA,NA,NA,NA,NA,NA,0.711,9.455,178,ITS.cc.178
NS,"Vaccinium myrtillus,  Festuca spp. ",AMF," 45.42150, 6.178040",1860.984,18.03333333,4.93,France ,NA,NA,NA,NA,NA,NA,NA,1.719,24.264,179,ITS.cc.179
NS,"Vaccinium myrtillus,  Festuca spp. ",AMF," 45.42150, 6.178040",1769.899,12.73333333,6.06,France ,NA,NA,NA,NA,NA,NA,NA,0.481,6.044,180,ITS.cc.180
S,Pinus mugo,"ECM,ERM",50.766785;15.536048,1343.94,3,4.22,Czech Rep ,0.310369573,21.21387283,-5.4482216,-29.0957344,1.163864815,51.44480899,44.2017048,0.507,8.657,181,ITS.cc.181
S,Pinus mugo,"ECM,ERM",50.767235;15.535814,1344.61,3.9,4.79,Czech Rep ,0.43164488,21.35646688,-0.7545136,-28.046888,1.302062057,52.54908416,40.35835611,0.839,14.643,182,ITS.cc.182
S,Pinus mugo,"ECM,ERM",50.768617;15.536593,1358.01,9,4.03,Czech Rep ,0.47954056,20.17964072,-4.938448,-26.2184936,1.542671387,52.57185343,34.07845239,1.661,30.084,183,ITS.cc.183
S,Pinus mugo,"ECM,ERM",50.768521;15.537492,1351.06,8.6,3.59,Czech Rep ,0.615460157,19.23865968,-4.5298315,-27.2896128,1.5475645,51.15855645,50.52960149,0.587,10.306,184,ITS.cc.184
S,Pinus mugo,"ECM,ERM",50.769055; 15.537658,1346.09,10.3,4.24,Czech Rep ,0.6347954,19.90730988,-3.7393328,-27.252154,1.767054509,50.83980959,28.77093454,0.547,7.723,185,ITS.cc.185
S,Pinus mugo,"ECM,ERM",50.769484;15.541361,1346.86,6.5,4.04,Czech Rep ,0.560326531,18.76456876,-3.4239576,-28.6463754,1.392692433,51.39501774,36.90335102,1.608,25.065,186,ITS.cc.186
S,Pinus mugo,"ECM,ERM",50.769407;15.541341,1346.72,6.4,4.01,Czech Rep ,0.552681388,23.26484018,-1.1710202,-27.2923677,1.469612889,52.6091408,35.79795823,0.707,9.868,187,ITS.cc.187
S,Pinus mugo,"ECM,ERM",50.769592;15.543806,1337.33,23.8,4.2,Czech Rep ,0.531012941,19.02521008,-5.2756186,-25.4769271,1.738867439,52.28757274,30.06990158,0.755,9.78,188,ITS.cc.188
S,Pinus mugo,"ECM,ERM",50.769873;15.544448,1329.3,8.7,3.78,Czech Rep ,0.49937578,20.41666667,-4.4161684,-26.4967241,1.465440764,52.21901146,35.63365559,1.469,25.876,189,ITS.cc.189
S,Pinus mugo,"ECM,ERM",50.770306;15.544236,1333.57,22.4,4.09,Czech Rep ,0.602657387,19.34383202,-4.8763386,-26.2574252,1.470429447,52.10898144,35.43793384,0.877,13.62,190,ITS.cc.190
NS,"Calamagrostis villosa, Nardus stricta, Vaccinium uliginosum",AMF,50.766833;15.536058,1342.13,15.3,4.19,Czech Rep ,NA,NA,NA,NA,NA,NA,NA,0.416,5.684,191,ITS.cc.191
NS,"Calamagrostis villosa, Nardus stricta, Vaccinium uliginosum",AMF,50.767256;15.535811,1344.91,10.7,4.13,Czech Rep ,NA,NA,NA,NA,NA,NA,NA,0.714,11.72,192,ITS.cc.192
NS,"Calamagrostis villosa, Nardus stricta, Vaccinium uliginosum",AMF,50.768603;15.536515,1354.28,12.5,4.18,Czech Rep ,NA,NA,NA,NA,NA,NA,NA,0.67,10.038,193,ITS.cc.193
NS,"Calamagrostis villosa, Nardus stricta, Vaccinium uliginosum",AMF,50.768493;15.537486,1347.41,19.4,4.05,Czech Rep ,NA,NA,NA,NA,NA,NA,NA,0.34,4.957,194,ITS.cc.194
NS,"Calamagrostis villosa, Nardus stricta, Vaccinium uliginosum",AMF,50.769048;15.537582,1346.26,44.5,4.17,Czech Rep ,NA,NA,NA,NA,NA,NA,NA,0.713,12.523,195,ITS.cc.195
NS,"Calamagrostis villosa, Nardus stricta, Vaccinium uliginosum",AMF,50.76953;15.541381,1347.22,27.3,3.98,Czech Rep ,NA,NA,NA,NA,NA,NA,NA,0.814,11.875,196,ITS.cc.196
NS,"Calamagrostis villosa, Nardus stricta, Vaccinium uliginosum",AMF,50.769314;15.541395,1345.07,29.4,3.78,Czech Rep ,NA,NA,NA,NA,NA,NA,NA,2.012,31.466,197,ITS.cc.197
NS,"Calamagrostis villosa, Nardus stricta, Vaccinium uliginosum",AMF,50.769548;15.543746,1337.74,18.4,4.03,Czech Rep ,NA,NA,NA,NA,NA,NA,NA,1.422,22.277,198,ITS.cc.198
NS,"Calamagrostis villosa, Nardus stricta, Vaccinium uliginosum",AMF,50.769905;15.544362,1331.35,17,3.94,Czech Rep ,NA,NA,NA,NA,NA,NA,NA,2.176,35.452,199,ITS.cc.199
NS,"Calamagrostis villosa, Nardus stricta, Vaccinium uliginosum",AMF,50.770384;15.544231,1333.84,17.4,3.77,Czech Rep ,NA,NA,NA,NA,NA,NA,NA,0.783,9.391,200,ITS.cc.200
S,Salix lapponum,"ECM,ERM","68.360658, 18.736889",730-750,27.8,6.06,Sweden ,0.198151951,161.0362694,-0.0522032,-28.6269932,5.533403947,49.8374385,9.006651055,1.057,13.633,201,ITS.cc.201
S,Salix lapponum,"ECM,ERM","68.360658, 18.736889",730-750,25.4,6.4,Sweden ,0.194480946,181.2162162,0.0365832,-28.062074,4.031973295,51.12635418,12.68023135,1.772,23.853,202,ITS.cc.202
S,Salix lapponum,"ECM,ERM","68.360658, 18.736889",730-750,26.4,6.24,Sweden ,0.212121212,155.1339286,-0.3415072,-29.2951772,3.623564435,50.75560126,14.00709223,0.997,13.897,203,ITS.cc.203
S,Salix lapponum,"ECM,ERM","68.360658, 18.736889",730-750,25.3,6.28,Sweden ,0.213556175,142.3913043,-0.135004,-28.7383572,4.067186372,50.66862942,12.45790696,1.054,13.443,204,ITS.cc.204
S,Salix lapponum,"ECM,ERM","68.360658, 18.736889",730-750,31.7,6.3,Sweden ,0.206624606,151.4122137,0.0425688,-28.8780684,3.67673897,51.04069427,13.88205545,1.16,15.772,205,ITS.cc.205
S,Salix lapponum,"ECM,ERM","68.360658, 18.736889",730-750,29.4,5.23,Sweden ,0.2,175.6741573,-0.0831288,-27.9183132,5.765058792,49.26254746,8.54502083,1.064,14.494,206,ITS.cc.206
S,Salix lapponum,"ECM,ERM","68.360658, 18.736889",730-750,24.8,5.75,Sweden ,0.247715736,141.7418033,-0.3026008,-29.3032764,3.902759641,51.55845344,13.21076832,0.854,14.753,207,ITS.cc.207
S,Salix lapponum,"ECM,ERM","68.360658, 18.736889",730-750,24.8,5.7,Sweden ,0.20794702,152.133758,0.4396136,-28.0104416,3.388795989,52.12950277,15.38289792,1.783,29.371,208,ITS.cc.208
NS,"Trollius europaeus, Geranium sylvaticum, Solidago virgaurea, Cornus suecica, Deschampsia",AMF,"68.360658, 18.736889",730-750,37.7,6.17,Sweden ,NA,NA,NA,NA,NA,NA,NA,0.587,6.849,209,ITS.cc.209
NS,"Trollius europaeus, Geranium sylvaticum, Solidago virgaurea, Cornus suecica, Deschampsia",AMF,"68.360658, 18.736889",730-750,29.4,6.53,Sweden ,NA,NA,NA,NA,NA,NA,NA,0.833,10.871,210,ITS.cc.210
NS,"Trollius europaeus, Geranium sylvaticum, Solidago virgaurea, Cornus suecica, Deschampsia",AMF,"68.360658, 18.736889",730-750,25.3,6.42,Sweden ,NA,NA,NA,NA,NA,NA,NA,1.096,15.992,211,ITS.cc.211
NS,"Trollius europaeus, Geranium sylvaticum, Solidago virgaurea, Cornus suecica, Deschampsia",AMF,"68.360658, 18.736889",730-750,27.5,6.51,Sweden ,NA,NA,NA,NA,NA,NA,NA,1.241,15.493,212,ITS.cc.212
NS,"Trollius europaeus, Geranium sylvaticum, Solidago virgaurea, Cornus suecica, Deschampsia",AMF,"68.360658, 18.736889",730-750,32.4,5.9,Sweden ,NA,NA,NA,NA,NA,NA,NA,0.762,10.217,213,ITS.cc.213
NS,"Trollius europaeus, Geranium sylvaticum, Solidago virgaurea, Cornus suecica, Deschampsia",AMF,"68.360658, 18.736889",730-750,31.7,5.62,Sweden ,NA,NA,NA,NA,NA,NA,NA,0.896,12.303,214,ITS.cc.214
NS,"Trollius europaeus, Geranium sylvaticum, Solidago virgaurea, Cornus suecica, Deschampsia",AMF,"68.360658, 18.736889",730-750,25.2,5.68,Sweden ,NA,NA,NA,NA,NA,NA,NA,0.854,11.73,215,ITS.cc.215
NS,"Trollius europaeus, Geranium sylvaticum, Solidago virgaurea, Cornus suecica, Deschampsia",AMF,"68.360658, 18.736889",730-750,36.1,5.43,Sweden ,NA,NA,NA,NA,NA,NA,NA,0.781,11.414,216,ITS.cc.216
S,Potentilla fruticosa,AMF,"33.665536, 101.866347",3506,42.7,6.8,China,,131.2,,,,,,0.135204941,2.924132586,217,ITS.cc.217
S,Potentilla fruticosa,AMF,"33.665536, 101.866348",3506,43.8,7.6,China,,128.7,,,,,,0.252642721,3.852763414,218,ITS.cc.218
S,Potentilla fruticosa,AMF,"33.665536, 101.866349",3506,44.5,7.6,China,,130.8,,,,,,0.566409647,7.62853384,219,ITS.cc.219
S,Potentilla fruticosa,AMF,"33.665536, 101.866350",3506,45.1,7.1,China,,131.3,,,,,,0.160825297,2.865310431,220,ITS.cc.220
S,Potentilla fruticosa,AMF,"33.665536, 101.866351",3506,45.6,6.1,China,,130.1,,,,,,0.214781642,3.274908543,221,ITS.cc.221
S,Potentilla fruticosa,AMF,"33.665536, 101.866352",3506,46.3,6.4,China,,129.4,,,,,,0.473723501,6.276756287,222,ITS.cc.222
S,Potentilla fruticosa,AMF,"33.665536, 101.866353",3506,47.3,6.8,China,,128.8,,,,,,0.095264345,2.068910599,223,ITS.cc.223
S,Potentilla fruticosa,AMF,"33.665536, 101.866354",3506,48.1,6.8,China,,127.2,,,,,,0.771380246,9.869379044,224,ITS.cc.224
S,Potentilla fruticosa,AMF,"33.665536, 101.866355",3506,48.7,6.8,China,,127.6,,,,,,0.824367404,11.42596817,225,ITS.cc.225
S,Potentilla fruticosa,AMF,"33.665536, 101.866356",3506,49.6,6.8,China,,128.9,,,,,,0.880058885,12.14098263,226,ITS.cc.226
NS,"Agrostis trinii, Carex atrofusca, Koeleria cristata, Potentilla anserina ",AMF,"33.665536, 101.866357",3506,53.2,8.8,China,NA,NA,NA,NA,NA,NA,NA,0.539997697,7.791235447,227,ITS.cc.227
NS,"Agrostis trinii, Carex atrofusca, Koeleria cristata, Potentilla anserina ",AMF,"33.665536, 101.866358",3506,53.7,8.9,China,NA,NA,NA,NA,NA,NA,NA,0.461035341,7.674352646,228,ITS.cc.228
NS,"Agrostis trinii, Carex atrofusca, Koeleria cristata, Potentilla anserina ",AMF,"33.665536, 101.866359",3506,53.7,8.9,China,NA,NA,NA,NA,NA,NA,NA,0.355725974,6.241310596,229,ITS.cc.229
NS,"Agrostis trinii, Carex atrofusca, Koeleria cristata, Potentilla anserina ",AMF,"33.665536, 101.866360",3506,54.2,9.1,China,NA,NA,NA,NA,NA,NA,NA,0.1824743,3.822002172,230,ITS.cc.230
NS,"Agrostis trinii, Carex atrofusca, Koeleria cristata, Potentilla anserina ",AMF,"33.665536, 101.866361",3506,53.6,8.9,China,NA,NA,NA,NA,NA,NA,NA,0.159658849,3.748466253,231,ITS.cc.231
NS,"Agrostis trinii, Carex atrofusca, Koeleria cristata, Potentilla anserina ",AMF,"33.665536, 101.866362",3506,53.3,8.9,China,NA,NA,NA,NA,NA,NA,NA,0.239585578,4.751506329,232,ITS.cc.232
NS,"Agrostis trinii, Carex atrofusca, Koeleria cristata, Potentilla anserina ",AMF,"33.665536, 101.866363",3506,52.4,9,China,NA,NA,NA,NA,NA,NA,NA,0.145700812,3.323760271,233,ITS.cc.233
NS,"Agrostis trinii, Carex atrofusca, Koeleria cristata, Potentilla anserina ",AMF,"33.665536, 101.866364",3506,52.5,9,China,NA,NA,NA,NA,NA,NA,NA,0.213898256,4.438272953,234,ITS.cc.234
NS,"Agrostis trinii, Carex atrofusca, Koeleria cristata, Potentilla anserina ",AMF,"33.665536, 101.866365",3506,51.9,8.8,China,NA,NA,NA,NA,NA,NA,NA,0.158442676,3.433124542,235,ITS.cc.235
NS,"Agrostis trinii, Carex atrofusca, Koeleria cristata, Potentilla anserina ",AMF,"33.665536, 101.866366",3506,51,8.9,China,NA,NA,NA,NA,NA,NA,NA,0.221980438,4.343776226,236,ITS.cc.236
NS,"Koeleria Macrantha, eriogonum ovalifolium",AMF,"37.5764474273, -118.24091116 ",3750,6.6,6.3,US CA,NA,NA,NA,NA,NA,NA,NA,0.279,3.278,237,ITS.cc.237
NS,"Koeleria Macrantha, eriogonum ovalifolium",AMF,"37.5764474273, -118.24091117",3750,6.6,6.3,US CA,NA,NA,NA,NA,NA,NA,NA,0.311,3.696,238,ITS.cc.238
NS,"Koeleria Macrantha, eriogonum ovalifolium",AMF,"37.5764474273, -118.24091118",3750,6.1,6.31,US CA,NA,NA,NA,NA,NA,NA,NA,0.37,4.408,239,ITS.cc.239
NS,"Koeleria Macrantha, eriogonum ovalifolium",AMF,"37.5764474273, -118.24091119",3750,6.1,6.31,US CA,NA,NA,NA,NA,NA,NA,NA,0.524,4.197,240,ITS.cc.240
NS,"Koeleria Macrantha, eriogonum ovalifolium",AMF,"37.5764474273, -118.24091120",3750,7.5,5.86,US CA,NA,NA,NA,NA,NA,NA,NA,0.207,3.431,241,ITS.cc.241
NS,"Koeleria Macrantha, eriogonum ovalifolium",AMF,"37.5764474273, -118.24091121",3750,7.5,5.86,US CA,NA,NA,NA,NA,NA,NA,NA,0.368,2.755,242,ITS.cc.242
NS,"Koeleria Macrantha, eriogonum ovalifolium",AMF,"37.5764474273, -118.24091122",3750,5.4,7.1,US CA,NA,NA,NA,NA,NA,NA,NA,0.341,2.151,243,ITS.cc.243
NS,"Koeleria Macrantha, eriogonum ovalifolium",AMF,"37.5764474273, -118.24091123",3750,5.4,7.1,US CA,NA,NA,NA,NA,NA,NA,NA,0.111,2.107,244,ITS.cc.244
NS,"Koeleria Macrantha, eriogonum ovalifolium",AMF,"37.5764474273, -118.24091124",3750,5.3,5.2,US CA,NA,NA,NA,NA,NA,NA,NA,0.173,2.915,245,ITS.cc.245
NS,"Koeleria Macrantha, eriogonum ovalifolium",AMF,"37.5764474273, -118.24091125",3750,5.3,5.2,US CA,NA,NA,NA,NA,NA,NA,NA,0.191,2.37,246,ITS.cc.246
S,Artemisia rothrockii ,AMF,"37.5764474273, -118.24091126",3750,5.8,6.27,US CA,0.301477833,85.02465314,1.2855866,-28.5678476,2.0688699,46.7278606,22.58617644,0.249,3.105,247,ITS.cc.247
S,Artemisia rothrockii ,AMF,"37.5764474273, -118.24091127",3750,5.8,6.27,US CA,0.356481481,84.09660515,2.2423684,-28.0907717,2.1667325,48.4158742,22.34510914,0.219,3.357,248,ITS.cc.248
